Insurance Company,Product,Product Type,Age,Minimum Age,Maximum Age,Decline,Acceptable,Height and weight,BMI
ethos,Ethos Term Life - Prime (by LGA),term,20-65 (age nearest),20.0,65.0,"['Terminal illness', 'HIV/AIDS', 'Uncontrolled diabetes', 'Current confinement or admission to a hospital', 'Pending criminal charges or conviction of a felony or misdemeanor within the past two years', 'Disability requiring assistance with care and activities of daily living', 'Hospitalization two or more times within the past six months', 'Unexplained weight change of greater than 15 pounds within the past six months', 'Hypertension with complications within the past two years', 'Any of the following diagnosed within the past two years:', 'Cancer', 'Mental/psychiatric conditions+', 'Stroke (all types)', 'Paralysis', 'Brain or nervous system disease or disorder', ""including Alzheimer's disease"", 'dementia', ""and Lou Gehrig's disease (ALS)"", 'Lung disease or disorder', 'Liver disease or disorder', 'Kidney disease or disorder', 'Systemic Lupus (SLE)', 'Muscular dystrophy', 'Organ transplant', 'Aneurysm', 'Amputation', 'Illegal drug use', 'Alcohol and/or drug abuse']","['Condition = Anxiety', 'Best-case scenario for this health condition = Well-controlled symptoms', 'compliance with treatment regimen', 'no history of suicidal ideation or attempts', 'no hospitalizations or emergency care', 'Condition = Depression', 'Best-case scenario for this health condition = Well-controlled symptoms', 'compliance with treatment regimen', 'diagnosed more than 6 months ago', 'no history of suicidal ideation or attempts', 'no hospitalizations or emergency care', 'Condition = Diabetes', 'Best-case scenario for this health condition = Applicants actively engaged in their care with regular office visits and blood testing/A1C monitoring with A1C (measure of average blood glucose or blood sugar level over the past 3 months) levels that are well-controlled and stable on their current treatment regimen (medication', 'diet', 'exercise', 'etc.)', 'Condition = Sleep Apnea', 'Best-case scenario for this health condition = Diagnosed with a sleep study and is actively being treated for this condition. CPAP/BiPAP compliant (or at least 2x per week). No episodes of falling asleep during waking hours or driving. Regular use of prescribed special devices or pillows to prevent sleeping on the back', 'oral appliances or dental devices', 'nose plugs/nose filters', 'surgery.', 'Condition = Hypertension/Blood Pressure', 'Best-case scenario for this health condition = Excellent treatment compliance and consistent control of BP with average not exceeding the following maximum BPs by age: 18-39: 135/85', '40-49: 140/90 50-65: 145/95', 'Condition = Hyperlipidemia/High Cholesterol', 'Best-case scenario for this health condition = Total cholesterol 100-260 measured within the past year', 'treated by up to 2 medications', 'Condition = HIV/AIDS', 'Best-case scenario for this health condition = Treated or Untreated HIV/AIDS: Guaranteed Issue Only', 'Condition = COVID-19', 'Best-case scenario for this health condition = >14 days since testing positive or experiencing symptoms', 'with no residual impairments', 'complications', 'or side effects Uninsurable for Ethos Prime Term: Any symptoms or positive test result within the past 15-30 days']",,
ethos,Ethos Term Life - Spectrum (by  Ameritas Life Insurance Corp.),term,20-65 (age nearest),20.0,65.0,"['Terminal illness', 'HIV/AIDS', 'Uncontrolled diabetes', 'Current confinement or admission to a hospital', 'Pending criminal charges or conviction of a felony or misdemeanor within the past two years', 'Disability requiring assistance with care and activities of daily living', 'Hospitalization two or more times within the past six months', 'Unexplained weight change of greater than 15 pounds within the past six months', 'Hypertension with complications within the past two years', 'Any of the following diagnosed within the past two years:', 'Cancer', 'Mental/psychiatric conditions+', 'Stroke (all types)', 'Paralysis', 'Brain or nervous system disease or disorder', ""including Alzheimer's disease"", 'dementia', ""and Lou Gehrig's disease (ALS)"", 'Lung disease or disorder', 'Liver disease or disorder', 'Kidney disease or disorder', 'Systemic Lupus (SLE)', 'Muscular dystrophy', 'Organ transplant', 'Aneurysm', 'Amputation', 'Illegal drug use', 'Alcohol and/or drug abuse']","['Condition = Anxiety', 'Best-case scenario for this health condition = Well-controlled symptoms', 'compliance with treatment regimen', 'no history of suicidal ideation or attempts', 'no hospitalizations or emergency care', 'Condition = Depression', 'Best-case scenario for this health condition = Well-controlled symptoms', 'compliance with treatment regimen', 'diagnosed more than 6 months ago', 'no history of suicidal ideation or attempts', 'no hospitalizations or emergency care', 'Condition = Diabetes', 'Best-case scenario for this health condition = Applicants actively engaged in their care with regular office visits and blood testing/A1C monitoring with A1C (measure of average blood glucose or blood sugar level over the past 3 months) levels that are well-controlled and stable on their current treatment regimen (medication', 'diet', 'exercise', 'etc.)', 'Condition = Sleep Apnea', 'Best-case scenario for this health condition = Diagnosed with a sleep study and is actively being treated for this condition. CPAP/BiPAP compliant (or at least 2x per week). No episodes of falling asleep during waking hours or driving. Regular use of prescribed special devices or pillows to prevent sleeping on the back', 'oral appliances or dental devices', 'nose plugs/nose filters', 'surgery.', 'Condition = Hypertension/Blood Pressure', 'Best-case scenario for this health condition = Excellent treatment compliance and consistent control of BP with average not exceeding the following maximum BPs by age: 18-39: 135/85', '40-49: 140/90 50-65: 145/95', 'Condition = Hyperlipidemia/High Cholesterol', 'Best-case scenario for this health condition = Total cholesterol 100-260 measured within the past year', 'treated by up to 2 medications', 'Condition = HIV/AIDS', 'Best-case scenario for this health condition = Treated or Untreated HIV/AIDS: Guaranteed Issue Only', 'Condition = COVID-19', 'Best-case scenario for this health condition = >14 days since testing positive or experiencing symptoms', 'with no residual impairments', 'complications', 'or side effects Uninsurable for Ethos Prime Term: Any symptoms or positive test result within the past 15-30 days']",,
ethos,Ethos Term Life - Select (by LGA),term,20-65 (age nearest),20.0,65.0,"['Terminal illness', 'HIV/AIDS', 'Uncontrolled diabetes', 'Current confinement or admission to a hospital', 'Pending criminal charges or conviction of a felony or misdemeanor within the past two years', 'Disability requiring assistance with care and activities of daily living', 'Hospitalization two or more times within the past six months', 'Unexplained weight change of greater than 15 pounds within the past six months', 'Hypertension with complications within the past two years', 'Any of the following diagnosed within the past two years:', 'Cancer', 'Mental/psychiatric conditions+', 'Stroke (all types)', 'Paralysis', 'Brain or nervous system disease or disorder', ""including Alzheimer's disease"", 'dementia', ""and Lou Gehrig's disease (ALS)"", 'Lung disease or disorder', 'Liver disease or disorder', 'Kidney disease or disorder', 'Systemic Lupus (SLE)', 'Muscular dystrophy', 'Organ transplant', 'Aneurysm', 'Amputation', 'Illegal drug use', 'Alcohol and/or drug abuse']","['Condition = Anxiety', 'Best-case scenario for this health condition = Well-controlled symptoms', 'compliance with treatment regimen', 'no history of suicidal ideation or attempts', 'no hospitalizations or emergency care', 'Condition = Depression', 'Best-case scenario for this health condition = Well-controlled symptoms', 'compliance with treatment regimen', 'diagnosed more than 6 months ago', 'no history of suicidal ideation or attempts', 'no hospitalizations or emergency care', 'Condition = Diabetes', 'Best-case scenario for this health condition = Applicants actively engaged in their care with regular office visits and blood testing/A1C monitoring with A1C (measure of average blood glucose or blood sugar level over the past 3 months) levels that are well-controlled and stable on their current treatment regimen (medication', 'diet', 'exercise', 'etc.)', 'Condition = Sleep Apnea', 'Best-case scenario for this health condition = Diagnosed with a sleep study and is actively being treated for this condition. CPAP/BiPAP compliant (or at least 2x per week). No episodes of falling asleep during waking hours or driving. Regular use of prescribed special devices or pillows to prevent sleeping on the back', 'oral appliances or dental devices', 'nose plugs/nose filters', 'surgery.', 'Condition = Hypertension/Blood Pressure', 'Best-case scenario for this health condition = Excellent treatment compliance and consistent control of BP with average not exceeding the following maximum BPs by age: 18-39: 135/85', '40-49: 140/90 50-65: 145/95', 'Condition = Hyperlipidemia/High Cholesterol', 'Best-case scenario for this health condition = Total cholesterol 100-260 measured within the past year', 'treated by up to 2 medications', 'Condition = HIV/AIDS', 'Best-case scenario for this health condition = Treated or Untreated HIV/AIDS: Guaranteed Issue Only', 'Condition = COVID-19', 'Best-case scenario for this health condition = >14 days since testing positive or experiencing symptoms', 'with no residual impairments', 'complications', 'or side effects Uninsurable for Ethos Prime Term: Any symptoms or positive test result within the past 15-30 days']",,
ethos,Ethos IUL (by Ameritas Life Insurance Corp.),iul,20-65 (age nearest),20.0,65.0,"['Terminal illness', 'HIV/AIDS', 'Uncontrolled diabetes', 'Current confinement or admission to a hospital', 'Pending criminal charges or conviction of a felony or misdemeanor within the past two years', 'Disability requiring assistance with care and activities of daily living', 'Hospitalization two or more times within the past six months', 'Unexplained weight change of greater than 15 pounds within the past six months', 'Hypertension with complications within the past two years', 'Any of the following diagnosed within the past two years:', 'Cancer', 'Mental/psychiatric conditions+', 'Stroke (all types)', 'Paralysis', 'Brain or nervous system disease or disorder', ""including Alzheimer's disease"", 'dementia', ""and Lou Gehrig's disease (ALS)"", 'Lung disease or disorder', 'Liver disease or disorder', 'Kidney disease or disorder', 'Systemic Lupus (SLE)', 'Muscular dystrophy', 'Organ transplant', 'Aneurysm', 'Amputation', 'Illegal drug use', 'Alcohol and/or drug abuse']","['Condition = Anxiety', 'Best-case scenario for this health condition = Well-controlled symptoms', 'compliance with treatment regimen', 'no history of suicidal ideation or attempts', 'no hospitalizations or emergency care', 'Condition = Depression', 'Best-case scenario for this health condition = Well-controlled symptoms', 'compliance with treatment regimen', 'diagnosed more than 6 months ago', 'no history of suicidal ideation or attempts', 'no hospitalizations or emergency care', 'Condition = Diabetes', 'Best-case scenario for this health condition = Applicants actively engaged in their care with regular office visits and blood testing/A1C monitoring with A1C (measure of average blood glucose or blood sugar level over the past 3 months) levels that are well-controlled and stable on their current treatment regimen (medication', 'diet', 'exercise', 'etc.)', 'Condition = Sleep Apnea', 'Best-case scenario for this health condition = Diagnosed with a sleep study and is actively being treated for this condition. CPAP/BiPAP compliant (or at least 2x per week). No episodes of falling asleep during waking hours or driving. Regular use of prescribed special devices or pillows to prevent sleeping on the back', 'oral appliances or dental devices', 'nose plugs/nose filters', 'surgery.', 'Condition = Hypertension/Blood Pressure', 'Best-case scenario for this health condition = Excellent treatment compliance and consistent control of BP with average not exceeding the following maximum BPs by age: 18-39: 135/85', '40-49: 140/90 50-65: 145/95', 'Condition = Hyperlipidemia/High Cholesterol', 'Best-case scenario for this health condition = Total cholesterol 100-260 measured within the past year', 'treated by up to 2 medications', 'Condition = HIV/AIDS', 'Best-case scenario for this health condition = Treated or Untreated HIV/AIDS: Guaranteed Issue Only', 'Condition = COVID-19', 'Best-case scenario for this health condition = >14 days since testing positive or experiencing symptoms', 'with no residual impairments', 'complications', 'or side effects Uninsurable for Ethos Prime Term: Any symptoms or positive test result within the past 15-30 days']",,
ethos,Ethos Final Expense (by Senior Life Insurance Co.),final expense,66-85 (age last),66.0,85.0,"['Terminal illness', 'HIV/AIDS', 'Uncontrolled diabetes', 'Current confinement or admission to a hospital', 'Pending criminal charges or conviction of a felony or misdemeanor within the past two years', 'Disability requiring assistance with care and activities of daily living', 'Hospitalization two or more times within the past six months', 'Unexplained weight change of greater than 15 pounds within the past six months', 'Hypertension with complications within the past two years', 'Any of the following diagnosed within the past two years:', 'Cancer', 'Mental/psychiatric conditions+', 'Stroke (all types)', 'Paralysis', 'Brain or nervous system disease or disorder', ""including Alzheimer's disease"", 'dementia', ""and Lou Gehrig's disease (ALS)"", 'Lung disease or disorder', 'Liver disease or disorder', 'Kidney disease or disorder', 'Systemic Lupus (SLE)', 'Muscular dystrophy', 'Organ transplant', 'Aneurysm', 'Amputation', 'Illegal drug use', 'Alcohol and/or drug abuse']","['Condition = Anxiety', 'Best-case scenario for this health condition = Well-controlled symptoms', 'compliance with treatment regimen', 'no history of suicidal ideation or attempts', 'no hospitalizations or emergency care', 'Condition = Depression', 'Best-case scenario for this health condition = Well-controlled symptoms', 'compliance with treatment regimen', 'diagnosed more than 6 months ago', 'no history of suicidal ideation or attempts', 'no hospitalizations or emergency care', 'Condition = Diabetes', 'Best-case scenario for this health condition = Applicants actively engaged in their care with regular office visits and blood testing/A1C monitoring with A1C (measure of average blood glucose or blood sugar level over the past 3 months) levels that are well-controlled and stable on their current treatment regimen (medication', 'diet', 'exercise', 'etc.)', 'Condition = Sleep Apnea', 'Best-case scenario for this health condition = Diagnosed with a sleep study and is actively being treated for this condition. CPAP/BiPAP compliant (or at least 2x per week). No episodes of falling asleep during waking hours or driving. Regular use of prescribed special devices or pillows to prevent sleeping on the back', 'oral appliances or dental devices', 'nose plugs/nose filters', 'surgery.', 'Condition = Hypertension/Blood Pressure', 'Best-case scenario for this health condition = Excellent treatment compliance and consistent control of BP with average not exceeding the following maximum BPs by age: 18-39: 135/85', '40-49: 140/90 50-65: 145/95', 'Condition = Hyperlipidemia/High Cholesterol', 'Best-case scenario for this health condition = Total cholesterol 100-260 measured within the past year', 'treated by up to 2 medications', 'Condition = HIV/AIDS', 'Best-case scenario for this health condition = Treated or Untreated HIV/AIDS: Guaranteed Issue Only', 'Condition = COVID-19', 'Best-case scenario for this health condition = >14 days since testing positive or experiencing symptoms', 'with no residual impairments', 'complications', 'or side effects Uninsurable for Ethos Prime Term: Any symptoms or positive test result within the past 15-30 days']",,
ethos,TruStageTM Term Life (by CMFG Life Insurance Company),term,18-69 (age last),18.0,69.0,"['Terminal illness', 'HIV/AIDS', 'Uncontrolled diabetes', 'Current confinement or admission to a hospital', 'Pending criminal charges or conviction of a felony or misdemeanor within the past two years', 'Disability requiring assistance with care and activities of daily living', 'Hospitalization two or more times within the past six months', 'Unexplained weight change of greater than 15 pounds within the past six months', 'Hypertension with complications within the past two years', 'Any of the following diagnosed within the past two years:', 'Cancer', 'Mental/psychiatric conditions+', 'Stroke (all types)', 'Paralysis', 'Brain or nervous system disease or disorder', ""including Alzheimer's disease"", 'dementia', ""and Lou Gehrig's disease (ALS)"", 'Lung disease or disorder', 'Liver disease or disorder', 'Kidney disease or disorder', 'Systemic Lupus (SLE)', 'Muscular dystrophy', 'Organ transplant', 'Aneurysm', 'Amputation', 'Illegal drug use', 'Alcohol and/or drug abuse']","['Condition = Anxiety', 'Best-case scenario for this health condition = Well-controlled symptoms', 'compliance with treatment regimen', 'no history of suicidal ideation or attempts', 'no hospitalizations or emergency care', 'Condition = Depression', 'Best-case scenario for this health condition = Well-controlled symptoms', 'compliance with treatment regimen', 'diagnosed more than 6 months ago', 'no history of suicidal ideation or attempts', 'no hospitalizations or emergency care', 'Condition = Diabetes', 'Best-case scenario for this health condition = Applicants actively engaged in their care with regular office visits and blood testing/A1C monitoring with A1C (measure of average blood glucose or blood sugar level over the past 3 months) levels that are well-controlled and stable on their current treatment regimen (medication', 'diet', 'exercise', 'etc.)', 'Condition = Sleep Apnea', 'Best-case scenario for this health condition = Diagnosed with a sleep study and is actively being treated for this condition. CPAP/BiPAP compliant (or at least 2x per week). No episodes of falling asleep during waking hours or driving. Regular use of prescribed special devices or pillows to prevent sleeping on the back', 'oral appliances or dental devices', 'nose plugs/nose filters', 'surgery.', 'Condition = Hypertension/Blood Pressure', 'Best-case scenario for this health condition = Excellent treatment compliance and consistent control of BP with average not exceeding the following maximum BPs by age: 18-39: 135/85', '40-49: 140/90 50-65: 145/95', 'Condition = Hyperlipidemia/High Cholesterol', 'Best-case scenario for this health condition = Total cholesterol 100-260 measured within the past year', 'treated by up to 2 medications', 'Condition = HIV/AIDS', 'Best-case scenario for this health condition = Treated or Untreated HIV/AIDS: Guaranteed Issue Only', 'Condition = COVID-19', 'Best-case scenario for this health condition = >14 days since testing positive or experiencing symptoms', 'with no residual impairments', 'complications', 'or side effects Uninsurable for Ethos Prime Term: Any symptoms or positive test result within the past 15-30 days']",,
ethos,TruStageTM Advantage Whole Life (by MEMBERS Life Insurance Company),whole life,18-85 (age last),18.0,85.0,"['Terminal illness', 'HIV/AIDS', 'Uncontrolled diabetes', 'Current confinement or admission to a hospital', 'Pending criminal charges or conviction of a felony or misdemeanor within the past two years', 'Disability requiring assistance with care and activities of daily living', 'Hospitalization two or more times within the past six months', 'Unexplained weight change of greater than 15 pounds within the past six months', 'Hypertension with complications within the past two years', 'Any of the following diagnosed within the past two years:', 'Cancer', 'Mental/psychiatric conditions+', 'Stroke (all types)', 'Paralysis', 'Brain or nervous system disease or disorder', ""including Alzheimer's disease"", 'dementia', ""and Lou Gehrig's disease (ALS)"", 'Lung disease or disorder', 'Liver disease or disorder', 'Kidney disease or disorder', 'Systemic Lupus (SLE)', 'Muscular dystrophy', 'Organ transplant', 'Aneurysm', 'Amputation', 'Illegal drug use', 'Alcohol and/or drug abuse']","['Condition = Anxiety', 'Best-case scenario for this health condition = Well-controlled symptoms', 'compliance with treatment regimen', 'no history of suicidal ideation or attempts', 'no hospitalizations or emergency care', 'Condition = Depression', 'Best-case scenario for this health condition = Well-controlled symptoms', 'compliance with treatment regimen', 'diagnosed more than 6 months ago', 'no history of suicidal ideation or attempts', 'no hospitalizations or emergency care', 'Condition = Diabetes', 'Best-case scenario for this health condition = Applicants actively engaged in their care with regular office visits and blood testing/A1C monitoring with A1C (measure of average blood glucose or blood sugar level over the past 3 months) levels that are well-controlled and stable on their current treatment regimen (medication', 'diet', 'exercise', 'etc.)', 'Condition = Sleep Apnea', 'Best-case scenario for this health condition = Diagnosed with a sleep study and is actively being treated for this condition. CPAP/BiPAP compliant (or at least 2x per week). No episodes of falling asleep during waking hours or driving. Regular use of prescribed special devices or pillows to prevent sleeping on the back', 'oral appliances or dental devices', 'nose plugs/nose filters', 'surgery.', 'Condition = Hypertension/Blood Pressure', 'Best-case scenario for this health condition = Excellent treatment compliance and consistent control of BP with average not exceeding the following maximum BPs by age: 18-39: 135/85', '40-49: 140/90 50-65: 145/95', 'Condition = Hyperlipidemia/High Cholesterol', 'Best-case scenario for this health condition = Total cholesterol 100-260 measured within the past year', 'treated by up to 2 medications', 'Condition = HIV/AIDS', 'Best-case scenario for this health condition = Treated or Untreated HIV/AIDS: Guaranteed Issue Only', 'Condition = COVID-19', 'Best-case scenario for this health condition = >14 days since testing positive or experiencing symptoms', 'with no residual impairments', 'complications', 'or side effects Uninsurable for Ethos Prime Term: Any symptoms or positive test result within the past 15-30 days']",,
ethos,TruStageTM Guaranteed Acceptance Whole Life (by CMFG Life Insurance Company),whole life,45-80 (age last),45.0,80.0,"['Terminal illness', 'HIV/AIDS', 'Uncontrolled diabetes', 'Current confinement or admission to a hospital', 'Pending criminal charges or conviction of a felony or misdemeanor within the past two years', 'Disability requiring assistance with care and activities of daily living', 'Hospitalization two or more times within the past six months', 'Unexplained weight change of greater than 15 pounds within the past six months', 'Hypertension with complications within the past two years', 'Any of the following diagnosed within the past two years:', 'Cancer', 'Mental/psychiatric conditions+', 'Stroke (all types)', 'Paralysis', 'Brain or nervous system disease or disorder', ""including Alzheimer's disease"", 'dementia', ""and Lou Gehrig's disease (ALS)"", 'Lung disease or disorder', 'Liver disease or disorder', 'Kidney disease or disorder', 'Systemic Lupus (SLE)', 'Muscular dystrophy', 'Organ transplant', 'Aneurysm', 'Amputation', 'Illegal drug use', 'Alcohol and/or drug abuse']","['Condition = Anxiety', 'Best-case scenario for this health condition = Well-controlled symptoms', 'compliance with treatment regimen', 'no history of suicidal ideation or attempts', 'no hospitalizations or emergency care', 'Condition = Depression', 'Best-case scenario for this health condition = Well-controlled symptoms', 'compliance with treatment regimen', 'diagnosed more than 6 months ago', 'no history of suicidal ideation or attempts', 'no hospitalizations or emergency care', 'Condition = Diabetes', 'Best-case scenario for this health condition = Applicants actively engaged in their care with regular office visits and blood testing/A1C monitoring with A1C (measure of average blood glucose or blood sugar level over the past 3 months) levels that are well-controlled and stable on their current treatment regimen (medication', 'diet', 'exercise', 'etc.)', 'Condition = Sleep Apnea', 'Best-case scenario for this health condition = Diagnosed with a sleep study and is actively being treated for this condition. CPAP/BiPAP compliant (or at least 2x per week). No episodes of falling asleep during waking hours or driving. Regular use of prescribed special devices or pillows to prevent sleeping on the back', 'oral appliances or dental devices', 'nose plugs/nose filters', 'surgery.', 'Condition = Hypertension/Blood Pressure', 'Best-case scenario for this health condition = Excellent treatment compliance and consistent control of BP with average not exceeding the following maximum BPs by age: 18-39: 135/85', '40-49: 140/90 50-65: 145/95', 'Condition = Hyperlipidemia/High Cholesterol', 'Best-case scenario for this health condition = Total cholesterol 100-260 measured within the past year', 'treated by up to 2 medications', 'Condition = HIV/AIDS', 'Best-case scenario for this health condition = Treated or Untreated HIV/AIDS: Guaranteed Issue Only', 'Condition = COVID-19', 'Best-case scenario for this health condition = >14 days since testing positive or experiencing symptoms', 'with no residual impairments', 'complications', 'or side effects Uninsurable for Ethos Prime Term: Any symptoms or positive test result within the past 15-30 days']",,
lafayette life,Protector Simplified Issue Whole Life Insurance,whole life,40-85 (age last birthday),45.0,85.0,,,,
lafayette life,Protector 2022 Graded Death Benefit,whole life,40-85 (age last birthday),45.0,85.0,,,,
