Insurance Company,Product,Age,Premiums,Insurance Policy fees and provisions,Payments,Benefits,Riders benifits,Product info,Face Amounts,More info,Underwriting classes and process,Description
Ethos,Ethos Term Life - Prime (by LGA),20-65 (age nearest),Level for specified term period ,"Policy fee ergerthertherthetrh = $76
Free look Period= 30 days","Method: Debit/Credit, ACH;
Mode: Monthly; 
Financial and credit History= Excellent/good credit
resulting in a favorable
CBI score;
Replacements= Available;","covarage = Age 20-50: $100k-$2M
Age 51-60: $100k-$1M
Age 61-65: $100K-$500k.","Available riders and perks=Accelerated Death Benefit, Ethos estate planning tools at no additional cost (except WA&SD) ","Risk = Best Risk;
Health=Excellent/good health with few to no chronic 
conditions. Any existing chronic conditions 
are consistently well controlled and receive
regular follow-up care;

Term Length= Age 20-50: 10, 15, 20, 30 yr 
Age 51-60: 10, 15, 20 yr
Age 61-65: 10, 15 yr ;
State and other exclusions = NY","Face amount eligibility=
Multiple of annual household income: 
Age <30: 40x Age 30-39: 35x Age 40-49: 25x Age 50-59: 20x Age 60-65: 10x","Non-working spouses= Based on household Income. Coverage amount cannot be greater than spouse-s total of insurance in-force and applied for. 
Retired=Maximum $500k
Single graduate students=Maximum $500k
Single undergraduate students=Maximum $250k
Vehicle Violations=Valid license not currently suspended or revoked
Major violations: none within 5 years
Minor violations: few to none within 3 years;
Driving = DUI, DWI, hit-and-run, or reckless driving
within the past 5 years, or suspended/
revoked driver?s license within the past year","Underwriting Class=Preferred Plus NonTobacco
Preferred Non-Tobacco
Standard Non-Tobacco
Standard Tobacco
Table ratings;
Underwirting Process=Initial review:Application questions and 
3rd party evidence checks
APS review for age 61 
and up,
Instant vs Underwriter review: 90% instant decision;","Ethos Term Life - Prime provides term life insurance with coverage up to $2 million for individuals aged 20 to 65. The underwriting process involves application questions and third-party evidence checks, with 100% instant decisions."
Ethos,Ethos Term Life - Spectrum (by  Ameritas Life Insurance Corp.),20-65 (age nearest),Level for specified term period ,"Policy fee = $48
Free look Period= 30 days","Method: Debit/Credit, ACH;
Mode: Monthly; 
Financial and credit History= Good/fair/poor credit
resulting in mid/high CBI
score depending on age;
Replacements= Unavailable;","Covarage= Age 20-45: $50K-$350K 
(up to $500K for Preferred 
Plus Non-Tobacco)  
Age 46?65: $50K?$350K",Available riders and perks=Ethos estate planning tools at no additional cost (except WA&SD) ,"Risk=Moderate Risk;

Health=Good to fair health without signifigant, progressive,
or debilitating conditions diagnosed or treated within 10 years;
Term Length= Age 20-50: 10, 15, 20, 30 yr 
Age 51-60: 10, 15, 20 yr
Age 61-65: 10, 15 yr;
State and other exclusions = NY","Face amount eligibility=
Ages 20-45: $500K if 
Preferred Plus Non- tobacco, $350K all 
other premium classes Ages 46-65: $350K","Non-working spouses= Not applicable
Retired=  Not applicable
Single graduate students= Not applicable
Single graduate students= Not applicable
Single undergraduate students= Not applicable
Vehicle Violations=Valid license not currently suspended or revoked
Major violations: none within 5 years
Minor violations: no excessive number of violations within the last 5 years;
Driving = DUI, DWI, hit-and-run, or reckless driving
within the past 5 years, or currently
suspended/revoked driver?s license","Underwriting Class=Preferred Plus Non-Tobacco
Preferred Non-Tobacco
Standard Non-Tobacco
Standard Tobacco;
Underwirting Process=Initial review: Application questions and 
3rd party evidence checks,
Instant vs Underwriter review: 100% instant decision;","Ethos Term Life - Spectrum offers term life insurance with coverage up to $500,000 for individuals aged 20 to 65. The underwriting process includes application questions and third-party evidence checks, with all decisions made instantly."
Ethos,Ethos Term Life - Select (by LGA),20-65 (age nearest),Level for specified term period ,"Policy fee = $30
Free look Period= 30 days","Method: ACH;
Mode: Monthly;
Financial & credit history=Fair/poor credit resulting
in below-average
CBI score;
Replacements= Unavailable;",Covarage= $20k-$150k ,Available riders and perks=Ethos estate planning tools at no additional cost (except WA & SD) ,"Risk=Higher Risk;

Health=Average to fair health.Not currently disabled;
Term Length= Age 20-40: 10, 15, 20, 30 yr 
Age 41-55: 10, 15, 20 yr
Age 56-60: 10, 15 yr
Age 61-65: 10 yr;
State and other exclusions = FL, NY","Face amount eligibility=
Not available in WA, WY, SD, IA, MI, NY, VT, NH, RI and ME ","Non-working spouses= Not applicable
Retired=  Not applicable
Single graduate students= Not applicable
Single graduate students= Not applicable
Single undergraduate students= Not applicable
Vehicle Violations=Not applicable;
Driving = Not applicable","Underwriting Class=Single risk class, 
no Tobacco rates;
Underwirting Process=Initial review: Application questions and 
3rd party evidence checks,
Instant vs Underwriter review: 100% instant decision;","Ethos Term Life offers term life insurance with coverage up to $2 million for individuals aged 20 to 85. The underwriting process involves application questions and third-party evidence checks, with 90% of decisions made instantly."
Ethos,Ethos IUL (by Ameritas Life Insurance Corp.),20-65 (age nearest),Flexible ,"Policy fee = N/A;
Free look Period= 30 days","Method: ACH;
Mode: Monthly;
Financial & credit history=Good/fair/poor credit
resulting in mid/high
CBI score;
Replacements= Unavailable;","Covarage= $25,000-$1,000,000
Age 20-50: up to $1M
Age 51-60: up to $500k
Age 61-65: up to $350k ","Available riders and perks=
Included at no cost 
- Care4Life Accelerated Death Benefit 

- Terminal Illness (for applicants not 

eligible for Care4Life) 

- Lifetime Income rider 

- Overloan Protection Benefit (endorsement 

- Ethos estate planning tools (n/a in WA, SD) 

Available at an additional cost 

- Accidental Death Benefit
- Waiver of Specified Premium","Risk=Best - Moderate Risk;

Health=Excellent/good health 
with few to no chronic
 conditions. Any existing 
chronic conditions are
 consistently well
 controlled and receive
 regular follow-up care;
Tern Length=N/A;
State and other exclusions = NY, CA, FL, ND, OR, SD, SC
U.S. citizens only
Max 4 apps from non-Ethos carriers in prior
12 months","Face amount eligibility=
Multiple of annual household 
income:
Age <30: 40x Age 30-39: 35x Age 40-49: 25x Age 50-59: 20x Age 60-65: 10x","
Non-working spouses= Based on household income. Coverage amount cannot be greater than spouse-s total of insurance in-force and applied for
Retired=Maximum $500k
Single undergraduate students=Maximum $250k

Vehicle Violations = Valid license not currently suspended or revoked
Major violations: none within 5 years
Minor violations: few to none within 3 years;
Driving = DUI, DWI, hit-and-run, or reckless driving
within the past 5 years, or suspended/
revoked driver?s license within the past year","Underwriting Class=4 non-tobacco:
Preferred Plus Non-Tobacco
Preferred Non-Tobacco 
Select Non-Tobacco
Standard Non-Tobacco with table ratings 1-10
2 tobacco:
Preferred Tobacco 
Standard Tobacco with table ratings 1-10;
Underwirting Process=Initial review: Application questions and 3rd party evidence 
checks,
Instant vs Underwriter review: 60%+ instant decision. Potential additional 
evidence ordered. Applicants not eligible for an 
instant IUL offer will be routed to manual U/W 
or TruStageTM Advantage Whole Life.;","Ethos IUL (Index Universal Life) provides index universal life insurance with coverage up to $1 million for individuals aged 20 to 65. The underwriting process includes application questions and third-party evidence checks, resulting in 100% instant decisions."
Ethos,Ethos Final Expense (by Senior Life Insurance Co.) ,66-85 (age last),Level for specified term period ,"Policy fee = $36
Free look Period= 30 days","Method: ACH;
Mode: Monthly;
Financial & credit history=Not applicable;
Replacements= Unavailable;","Covarage= Preferred Plus:
$5k?$30k
Preferred: $1k?$20k
Standard: $1k?$20k",Available riders and perks=12 month Legacy Assurance Membership and Ethos estate planning tools at no additional cost (except WA & SD),"
Health=Average to fair health. Not currently disabled;
Tern Length=N/A;
State and other exclusions = WA, WY, SD, IA, MI, NY,
VT, NH, RI, ME",Face amount eligibility=Not applicable,"Non-working spouses= Not applicable
Retired=  Not applicable
Single graduate students= Not applicable
Single graduate students= Not applicable
Single undergraduate students= Not applicable
Vehicle Violations = Not applicable;
Driving = Not applicable","Underwriting Class=Preferred Plus 
Preferred
Standard 
Tobacco usage 
places applicant into 
Preferred or Standard 
health class based on 
last use data;
Underwirting Process=Initial review: Application questions 
and 3rd party evidence 
checks,
Instant vs Underwriter review: 100% instant decision;","Ethos Final Expense is a whole life insurance product designed for final expenses, offering coverage for preferred and standard classes ranging from $1,000 to $20,000. It is available to individuals aged 20 to 85. The underwriting process consists of application questions and third-party evidence checks, with all decisions made instantly."
Ethos,TruStageTM Term Life (by CMFG Life Insurance Company),18-69 (age last),Increasing (every 5 attained ages),"Policy fee = Band 1: $30 
Band 2: $60
Free look Period= 30 days","Method: Debit/Credit, ACH;
Mode: Monthly, Quarterly, Bi-Annually, Annually;
Financial & credit history=Good/fair/poor credit
resulting in medium
CBI score depending
on age;
Replacements= Unavailable;","Covarage= Band 1 (Age 25-69): $5k-$100k
Band 2 (Age 18-69): $101k-$300k        ",Available riders and perks=None ,"Health=Average to fair health. Not currently disabled;
Term Length= Annually renewable to age 80;
State and other exclusions = NY",Face amount eligibility=Not applicable,"Non-working spouses= Not applicable
Retired=  Not applicable
Single graduate students= Not applicable
Single graduate students= Not applicable
Single undergraduate students= Not applicable
Vehicle Violations = Not applicable;","Underwriting Class=Band 1: Single risk 
class, no Tobacco 
rates
Band 2: NonTobacco and 
Tobacco rates;
Underwirting Process=Initial review: Application 
questions and 3rd 
party evidence 
checks,
Instant vs Underwriter review: 100% instant decision;","TruStage Term Life provides term life insurance with increasing coverage, available up to $300,000 for individuals aged 20 to 69. The underwriting process includes application questions and third-party evidence checks, with over 60% of decisions made instantly."
Ethos,TruStageTM Advantage Whole Life (by MEMBERS Life Insurance Company),18-85 (age last),Level for specified term period ,"Policy fee = $36
Free look Period= 30 days","Method: Debit/Credit, ACH;
Mode: Monthly, Quarterly, Bi-Annually, Annually;
Financial & credit history=Good/fair/poor credit
resulting in medium
CBI score depending
on age;
Replacements= Unavailable;","Covarage= Age 18-70: $5k-$100k   
Age 71?75:
$5k?$50k
Age 76?85:
$5k?$25k",Available riders and perks=None ,"Health=Good to fair health. Not currently disabled;
Tern Length=N/A;
State and other exclusions = CT, NY",Face amount eligibility=Not applicable,"Non-working spouses= Not applicable
Retired=  Not applicable
Single graduate students= Not applicable
Single graduate students= Not applicable
Single undergraduate students= Not applicable
Vehicle Violations=Not applicable;","Underwriting Class=Non-Tobacco and 
Tobacco rates;
Underwirting Process=Initial review: Application 
questions and 3rd 
party evidence 
checks,
Instant vs Underwriter review: 100% instant decision;","TruStage Advantage Whole Life offers whole life insurance with coverage up to $100,000 for individuals aged 20 to 85. The underwriting process involves application questions and third-party evidence checks, with 100% instant decisions."
Ethos,TruStageTM Guaranteed Acceptance Whole Life (by CMFG Life Insurance Company),45-80 (age last),Level for specified term period ,"Policy fee = N/A;
Free look Period= 30 days","Method: Debit/Credit, ACH;
Mode: Monthly, Quarterly, Bi-Annually, Annually;
Financial & credit history=Fair/poor credit
history making them
ineligible for other
policy types;
Replacements= Unavailable;","Covarage= $2k-$20k. Death benefit in first 2 years is limited to return
 of 100% of premium, plus 10%     ",Available riders and perks=None ,"Health=Poor health;
Tern Length=N/A;
State and other exclusions = WA, NY",Face amount eligibility=Not applicable,"Non-working spouses= Not applicable
Retired=  Not applicable
Single graduate students= Not applicable
Single graduate students= Not applicable
Single undergraduate students= Not applicable
Vehicle Violations = Not applicable;","Underwriting Class=N/A;
Underwirting Process=Initial review: N/A,
Instant vs Underwriter review: 100% instant decision;","TruStage Guaranteed Acceptance Whole Life is a whole life insurance product with guaranteed acceptance, offering coverage up to $20,000 with a graded death benefit. It is available to individuals aged 45 to 80. The underwriting process consists of application questions and third-party evidence checks, with all decisions made instantly."
 LAFAYETTE LIFE INSURANCE COMPANY, Protector Simplified Issue Whole Life Insurance,40?85 (age last birthday),"Premium Plan=Level-Pay for Life, Single Premium;"," Policy fee=
$30 policy fee included. Ages 40?80 = $25,000-$50,000 maximum face amount; Ages 81?85 = $10,000 maximum face amount,
$50 policy fee not included. Ages 40?80 = $100,000 maximum or maximum face amount of $250,000 (see page 15); Ages 81?85 = $25,000 maximum premium.;",,"Benefit Amount=Net death benefit at time of payment, discounted for one year at policy loan interest rate","ACCELERATED DEATH BENEFIT RIDER=
The Accelerated Death Benefit Rider (ICC14 LLR-06 
1408) may be exercised if either of the following apply:
* The insured?s life expectancy is 12 months or less 
due to a terminal illness.
* The insured is confined to an eligible nursing 
home and is expected to stay there until 
death due to a specific diagnosed accident or 
sickness condition.
The benefit available is the net death benefit 
(death benefit less any existing loans) at the time 
the accelerated death benefit is paid discounted for 
one year at the policy loan interest rate in effect at 
the time the benefit is paid","Type= Whole life, non-participating insurance
Policy Limitation:  Policy may only be issued at the lessor of: Maximum Premium
of $100,000 or Maximum Face Amount of $250,000","Ages 40?80: Lesser of $100,000 premium or $250,000 face amount(Single Premium)
Ages 40?80: $50,000 - Ages 81?85: $10,000 face amount(Level-Pay)
Minimum Face Amount = $3,000 for all ages and premium plans
Level-Pay ? Maximum Face Amounts:
 Ages 40?80: $50,000
 Ages 81?85: $10,000",,,"APPLICATION
Use your state?s version of ICC14 LL-1462 (10/19) 
or ICC14 LL-1462-NO GDB (10/19).
Use your state?s version of the Disclosure Statement 
for Accelerated Death Benefit Rider: ICC14-LL-2716 
11/14"
 LAFAYETTE LIFE INSURANCE COMPANY,Protector 2022 Graded Death Benefit,40?85 (age last birthday),Level-Pay for Life," Policy fee=
$30 policy fee included. Ages 40?80 = $25,000-$50,000 maximum face amount; Ages 81?85 = $10,000 maximum face amount,
$50 policy fee not included. Ages 40?80 = $100,000 maximum or maximum face amount of $250,000 (see page 15); Ages 81?85 = $25,000 maximum premium.;",,"The graded death benefit will be a return of premium accumulated at a 10% interest rate for the first three 
years, (but not to exceed $1,000 for every $1,000 of face amount) unless death is by accidental means. 
If death is by accidental means in the first three policy years, 100% of the death benefit will be paid.
Accidental: The death benefit is a level $1,000 
for every $1,000 of face amount.
Not Accidental: The death benefit is the annual 
mode gross premiums accumulated at 10% 
interest compounded annually (but not to exceed 
$1,000) for every $1,000 of face amount. 
After the Modified Benefit Period, the amount 
of insurance is a level $1,000 for every $1,000 
of face amount","NON-TOBACCO DISCOUNT AND 
ACCELERATED DEATH BENEFIT RIDER 
Not Available.
If Graded Death Benefit (GDB) is offered by
Underwriting, an amendment will be required.
New Business will send the required form
1603-SR (MEC), and the amendment that can
be signed on delivery at that time","Type= Whole life, non-participating insurance
Policy Limitation:  Policy may only be issued at the lessor of: Maximum Premium
of $100,000 or Maximum Face Amount of $250,001","Face Amounts Ages 40?80: $3,000 ? $25,000 , Ages 81?85: $3,000 ? $10,000",,, 
